schema,K,features_used,standardization,source
hierarchical_ward_6,6.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_ward_7,7.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_ward_8,8.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_complete_3,3.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_complete_4,4.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_complete_5,5.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_complete_6,6.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_complete_7,7.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_complete_8,8.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_average_3,3.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_average_4,4.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_average_5,5.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_average_6,6.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_average_7,7.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_average_8,8.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_single_3,3.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_single_4,4.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_single_5,5.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_single_6,6.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_single_7,7.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_single_8,8.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
gmm_3,3.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
gmm_4,4.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
gmm_5,5.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
gmm_6,6.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
gmm_7,7.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
gmm_8,8.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
dbscan_eps2.0_min3,2.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
dbscan_eps2.5_min3,3.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
advanced_ecosystem_interpretations_20250728_122420,,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_ecosystem_interpretations_20250728_122420.json
kmeans_robust_3,3.0,,robust,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_robust_4,4.0,,robust,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_robust_5,5.0,,robust,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_robust_6,6.0,,robust,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_robust_7,7.0,,robust,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_robust_8,8.0,,robust,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_standard_3,3.0,,standard,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_standard_4,4.0,,standard,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_standard_5,5.0,,standard,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_standard_6,6.0,,standard,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_standard_7,7.0,,standard,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_standard_8,8.0,,standard,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_minmax_3,3.0,,minmax,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_minmax_4,4.0,,minmax,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_minmax_5,5.0,,minmax,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_minmax_6,6.0,,minmax,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_minmax_7,7.0,,minmax,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_minmax_8,8.0,,minmax,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_power_3,3.0,,power,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_power_4,4.0,,power,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_power_5,5.0,,power,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_power_6,6.0,,power,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_power_7,7.0,,power,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
kmeans_power_8,8.0,,power,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_ward_3,3.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_ward_4,4.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_ward_5,5.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_ward_6,6.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_ward_7,7.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_ward_8,8.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_complete_3,3.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_complete_4,4.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_complete_5,5.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_complete_6,6.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_complete_7,7.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_complete_8,8.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_average_3,3.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_average_4,4.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_average_5,5.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_average_6,6.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_average_7,7.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_average_8,8.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_single_3,3.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_single_4,4.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_single_5,5.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_single_6,6.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_single_7,7.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
hierarchical_single_8,8.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
gmm_3,3.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
gmm_4,4.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
gmm_5,5.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
gmm_6,6.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
gmm_7,7.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
gmm_8,8.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
dbscan_eps2.0_min3,2.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
dbscan_eps2.5_min3,3.0,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_clustering_strategies_20250723_215127.json
advanced_ecosystem_interpretations_20250723_215127,,,,ecosystem/evaluation/clustering_results\sampledfull\advanced_ecosystem_interpretations_20250723_215127.json
GMM (3 clusters),3.0,,,ecosystem/evaluation/clustering_results\v2_3clusters\clustering_strategy_20250728_192701.json
kmeans_robust_3,3.0,,robust,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_robust_4,4.0,,robust,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_robust_5,5.0,,robust,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_robust_6,6.0,,robust,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_robust_7,7.0,,robust,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_robust_8,8.0,,robust,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_robust_9,9.0,,robust,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_robust_10,10.0,,robust,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_standard_3,3.0,,standard,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_standard_4,4.0,,standard,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_standard_5,5.0,,standard,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_standard_6,6.0,,standard,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_standard_7,7.0,,standard,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_standard_8,8.0,,standard,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_standard_9,9.0,,standard,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_standard_10,10.0,,standard,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_minmax_3,3.0,,minmax,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_minmax_4,4.0,,minmax,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_minmax_5,5.0,,minmax,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_minmax_6,6.0,,minmax,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_minmax_7,7.0,,minmax,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_minmax_8,8.0,,minmax,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_minmax_9,9.0,,minmax,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_minmax_10,10.0,,minmax,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_power_3,3.0,,power,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_power_4,4.0,,power,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_power_5,5.0,,power,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_power_6,6.0,,power,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_power_7,7.0,,power,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_power_8,8.0,,power,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_power_9,9.0,,power,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
kmeans_power_10,10.0,,power,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_ward_3,3.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_ward_4,4.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_ward_5,5.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_ward_6,6.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_ward_7,7.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_ward_8,8.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_ward_9,9.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_ward_10,10.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_complete_3,3.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_complete_4,4.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_complete_5,5.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_complete_6,6.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_complete_7,7.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_complete_8,8.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_complete_9,9.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_complete_10,10.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_average_3,3.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_average_4,4.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_average_5,5.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_average_6,6.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_average_7,7.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_average_8,8.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_average_9,9.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_average_10,10.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_single_3,3.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_single_4,4.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_single_5,5.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_single_6,6.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_single_7,7.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_single_8,8.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_single_9,9.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
hierarchical_single_10,10.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
gmm_3,3.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
gmm_4,4.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
gmm_5,5.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
gmm_6,6.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
gmm_7,7.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
gmm_8,8.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
gmm_9,9.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
gmm_10,10.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
dbscan_eps0.5_min3,2.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
dbscan_eps1.0_min3,3.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
dbscan_eps1.0_min5,2.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
dbscan_eps1.5_min3,4.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
dbscan_eps1.5_min5,2.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
dbscan_eps2.0_min3,3.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
dbscan_eps2.5_min3,5.0,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_clustering_strategies_20250728_174738.json
advanced_ecosystem_interpretations_20250728_174738,,,,ecosystem/evaluation/clustering_results\v2_4clusters\advanced_ecosystem_interpretations_20250728_174738.json
Agglomerative (3 clusters),3.0,"longitude, latitude, latitude_abs, mean_annual_temp, mean_annual_precip, aridity_index, elevation, seasonal_temp_range...",scaled,ecosystem/evaluation/clustering_results\v2_hybrid_20250804_052836\flexible_clustering_strategy_20250804_052836.json
preprocessing_summary_20250804_052836,,,,ecosystem/evaluation/clustering_results\v2_hybrid_20250804_052836\preprocessing_summary_20250804_052836.json
K-means (3 clusters),3.0,"longitude, latitude, latitude_abs, mean_annual_temp, mean_annual_precip, aridity_index, elevation, seasonal_temp_range...",scaled,ecosystem/evaluation/clustering_results\v2_hybrid_20250804_062822\flexible_clustering_strategy_20250804_062822.json
preprocessing_summary_20250804_062822,,,,ecosystem/evaluation/clustering_results\v2_hybrid_20250804_062822\preprocessing_summary_20250804_062822.json
Agglomerative (3 clusters),3.0,"longitude, latitude, latitude_abs, mean_annual_temp, mean_annual_precip, aridity_index, elevation, biome_code_encoded...",scaled,ecosystem/evaluation/clustering_results\v2_hybrid_20250807_004825\flexible_clustering_strategy_20250807_004825.json
preprocessing_summary_20250807_004825,,,,ecosystem/evaluation/clustering_results\v2_hybrid_20250807_004825\preprocessing_summary_20250807_004825.json
Agglomerative (3 clusters),3.0,"longitude, latitude, latitude_abs, mean_annual_temp, mean_annual_precip, aridity_index, elevation, seasonal_temp_range...",scaled,ecosystem/evaluation/clustering_results\v2_hybrid_20250807_022706\flexible_clustering_strategy_20250807_022706.json
preprocessing_summary_20250807_022706,,,,ecosystem/evaluation/clustering_results\v2_hybrid_20250807_022706\preprocessing_summary_20250807_022706.json
Agglomerative (6 clusters),6.0,"longitude, latitude, elevation, mean_annual_temp, mean_annual_precip, seasonal_temp_range, seasonal_precip_range, basal_area...",scaled,ecosystem/evaluation/clustering_results\v3_hybrid_20250804_052853\flexible_clustering_strategy_20250804_052853.json
preprocessing_summary_20250804_052853,,,,ecosystem/evaluation/clustering_results\v3_hybrid_20250804_052853\preprocessing_summary_20250804_052853.json
Agglomerative (6 clusters),6.0,"longitude, latitude, elevation, mean_annual_temp, mean_annual_precip, seasonal_temp_range, seasonal_precip_range, basal_area...",scaled,ecosystem/evaluation/clustering_results\v3_hybrid_20250804_062842\flexible_clustering_strategy_20250804_062842.json
preprocessing_summary_20250804_062842,,,,ecosystem/evaluation/clustering_results\v3_hybrid_20250804_062842\preprocessing_summary_20250804_062842.json
Agglomerative (6 clusters),6.0,"longitude, latitude, elevation, mean_annual_temp, mean_annual_precip, basal_area, tree_density, leaf_area_index...",scaled,ecosystem/evaluation/clustering_results\v3_hybrid_20250807_004845\flexible_clustering_strategy_20250807_004845.json
preprocessing_summary_20250807_004845,,,,ecosystem/evaluation/clustering_results\v3_hybrid_20250807_004845\preprocessing_summary_20250807_004845.json
Agglomerative (6 clusters),6.0,"longitude, latitude, elevation, mean_annual_temp, mean_annual_precip, seasonal_temp_range, seasonal_precip_range, basal_area...",scaled,ecosystem/evaluation/clustering_results\v3_hybrid_20250807_022927\flexible_clustering_strategy_20250807_022927.json
preprocessing_summary_20250807_022927,,,,ecosystem/evaluation/clustering_results\v3_hybrid_20250807_022927\preprocessing_summary_20250807_022927.json
